"job_id","job_title","job_location","company_name","salary_year_avg"
955478,"Data Analyst","Fujairah - United Arab Emirates","Ecojob",NULL
173896,"Data Analyst","Dubai - United Arab Emirates","Work standard",NULL
381661,"Data Analyst","Riyadh Saudi Arabia","India Abroad",NULL
1585761,"Data Analyst","Doha, Qatar","ConFlip",NULL
63387,"Data Analyst","Abu Dhabi - United Arab Emirates","Women@work",NULL
1327642,"Data Protection Analyst Dubai UAE","Dubai - United Arab Emirates","Gulf Career Hunt",NULL
376562,"Data Analyst","Riyadh Saudi Arabia","PPOAR",NULL
985662,"Data Analyst","Doha, Qatar","Abroad Work",NULL
486030,"Data Analyst","United Arab Emirates","Majid Al Futtaim",NULL
734885,"Data Analyst","Abu Dhabi - United Arab Emirates","Agoda",NULL
1717286,"Data Analyst","Doha, Qatar","JobCenter",NULL
1658664,"Master Data Analyst","Saudi Arabia","Kitopi",NULL
452451,"Data Analyst","Doha, Qatar","Workato",NULL
1028864,"Data Analyst","United Arab Emirates","Want More",NULL
1683059,"Traffic Data Analyst Jobs in Dubai | Parsons","Dubai - United Arab Emirates","Parsons",NULL
706213,"Data Analyst","Doha, Qatar","Work corp",NULL
1558761,"CRM Data Analyst Jobs in Dubai 2022","Dubai - United Arab Emirates","Al Futtaim",NULL
1512802,"Data Analyst","Doha, Qatar","Want More",NULL
965608,"Data Analyst","Doha, Qatar","Flyper",NULL
1649424,"Lead Operations Data and Performance Analyst","Qatar","Talent Pal",NULL
82861,"Data Analyst","Doha, Qatar","Avanta Works",NULL
854360,"Data Analyst","Riyadh Saudi Arabia","Work corp",NULL
592655,"Data Science Practitioner Analyst","Abu Dhabi - United Arab Emirates","Accenture",NULL
881568,"Data Analyst","Doha, Qatar","Workato",NULL
1300692,"Data Admin & Data Analyst","Saudi Arabia","CareerMatch",NULL
647714,"Data Analyst","Abu Dhabi - United Arab Emirates","Want More",NULL
653563,"Data Analyst","Abu Dhabi - United Arab Emirates","Agoda",NULL
611801,"Data Analyst(Intern)","Dubai - United Arab Emirates","Accenture",NULL
640714,"Data Analyst","United Arab Emirates","ConFlip",NULL
1802388,"Data Analyst","United Arab Emirates","Work standard",NULL
280952,"Data Analyst","Ras Al-Khaimah - Ras al Khaimah - United Arab Emirates","Avanta Works",NULL
1315333,"Data Science Practitioner Analyst","Dubai - United Arab Emirates","Accenture",NULL
877595,"Data Analyst","Dubai - United Arab Emirates","Kitopi",NULL
1307239,"Data Architect","Qatar","Brunel",NULL
1171640,"Data/BI Analyst","Abu Dhabi - United Arab Emirates","Halian",NULL
1764137,"Data Analyst","Abu Dhabi - United Arab Emirates","Jing Hau",NULL
475559,"Data Analyst","Dubai - United Arab Emirates","Gulf Career Hunt",NULL
8901,"Technical Data Analytics Manager Jobs in Abu Dhabi","Abu Dhabi - United Arab Emirates","Etihad Airways",NULL
1654811,"HR Data Analyst","United Arab Emirates","Halian",NULL
1804612,"Data Analyst","Doha, Qatar","India Abroad",NULL
